MBKOM;NAKOM;SNKOM;RBGR;ADKOM
6024785;STAMPARIJA GOSA;STA GOSA;00159;
7358342;GOSA ZAJEDNICKI POSLOVI;GOSA ZP;02450;
7463600;INFORMATIVNO POSLOVNI CENTAR;IPC;00159;80 NOVA BR.2
6981046;IGP TE PLJEVLJA;PLJEVLJA;02013;
1032089;BOSNAAUTO;BOSNAAUTO;02351;RADICEVA
1081276;RMK ZENICA;RMK ZENICA;03122;INDUSTRIJSKI BULEVAR
1137468;BRATSVO;BRATSTVO;02172;RAVE JANKOVICA
4059581;RO METALAC;RO METALAC;02145;MOSE PIJADE BB
6992089;REMING;REMING;00159;DALMATINSKA 47
5036011;METALNA;METALNA;01582;ZAGREBACKA
6010202;TEHNOGRADNJA;TEHNOGRADA;02450;
